id,state,fips,county,county_seat,population,land_area_km2,land_area_mi2,water_area_km2,water_area_mi2,total_area_km,total_area_mi2,latitude,longitude,conus,geometry
204,CA,6035,Lassen,Susanville,34895,11761.612,4541.184,463.441,178.935,12225.053,4720.119000000001,40.721089,-120.629931,True,POINT (-120.629931 40.721089)
205,CA,6037,Los Angeles,Los Angeles,9818605,10509.87,4057.884,1795.013,693.058,12304.883,4750.942,34.196397999999995,-118.26186200000001,True,POINT (-118.261862 34.19639799999999)
206,CA,6039,Madera,Madera,150865,5534.983,2137.069,41.958,16.2,5576.94,2153.269,37.210039,-119.749852,True,POINT (-119.749852 37.210039)
207,CA,6041,Marin,San Rafael,252409,1347.586,520.306,797.42,307.88599999999997,2145.006,828.192,38.051817,-122.745974,True,POINT (-122.745974 38.051817)
208,CA,6043,Mariposa,Mariposa,18251,3752.417,1448.816,36.271,14.004000000000001,3788.688,1462.82,37.570034,-119.91286000000001,True,POINT (-119.91286 37.570034)
209,CA,6045,Mendocino,Ukiah,87841,9081.386,3506.343,962.953,371.798,10044.339,3878.1409999999996,39.432388,-123.442881,True,POINT (-123.442881 39.432388)
210,CA,6047,Merced,Merced,255793,5011.555,1934.9720000000002,112.76,43.537,5124.315,1978.509,37.194806,-120.722802,True,POINT (-120.722802 37.194806)
211,CA,6049,Modoc,Alturas,9686,10146.976999999999,3917.77,739.7739999999999,285.629,10886.752,4203.399,41.592919,-120.71837,True,POINT (-120.71837 41.592919)
212,CA,6051,Mono,Bridgeport,14202,7896.826999999999,3048.982,214.695,82.89399999999999,8111.523,3131.8759999999997,37.915836,-118.87516699999999,True,POINT (-118.875167 37.915836)
213,CA,6053,Monterey,Salinas,415057,8496.703000000001,3280.595,1270.714,490.626,9767.417,3771.2209999999995,36.240107,-121.315573,True,POINT (-121.315573 36.240107)
214,CA,6055,Napa,Napa,136484,1938.247,748.362,104.169,40.22,2042.4170000000001,788.582,38.507351,-122.32599499999999,True,POINT (-122.325995 38.507351)
215,CA,6057,Nevada,Nevada City,98764,2480.617,957.7719999999999,41.515,16.029,2522.132,973.801,39.295190999999996,-120.77344599999999,True,POINT (-120.773446 39.295191)
216,CA,6059,Orange,Santa Ana,3010232,2047.5610000000001,790.568,407.917,157.498,2455.478,948.066,33.675686999999996,-117.777207,True,POINT (-117.777207 33.675687)
217,CA,6061,Placer,Auburn,348432,3644.136,1407.009,247.205,95.447,3891.341,1502.4560000000001,39.062032,-120.722718,True,POINT (-120.722718 39.062032)
218,CA,6063,Plumas,Quincy,20007,6612.351,2553.0429999999997,156.395,60.385,6768.746,2613.428,39.99517,-120.829516,True,POINT (-120.829516 39.99517)
219,CA,6065,Riverside,Riverside,2189641,18664.697,7206.48,251.07299999999998,96.94,18915.77,7303.42,33.729828000000005,-116.00223899999999,True,POINT (-116.002239 33.729828)
220,CA,6067,Sacramento,Sacramento,1418788,2498.416,964.6439999999999,76.077,29.374000000000002,2574.493,994.018,38.450010999999996,-121.340441,True,POINT (-121.340441 38.450011)
221,CA,6069,San Benito,Hollister,55269,3596.742,1388.71,4.555,1.7590000000000001,3601.297,1390.469,36.610702,-121.085296,True,POINT (-121.085296 36.610702)
222,CA,6071,San Bernardino,San Bernardino,2035210,51947.23,20056.938000000002,124.02799999999999,47.888000000000005,52071.258,20104.826,34.85722,-116.181197,True,POINT (-116.181197 34.85722)
223,CA,6073,San Diego,San Diego,3095313,10895.121000000001,4206.63,826.3480000000001,319.055,11721.469,4525.685,33.023604,-116.776117,True,POINT (-116.776117 33.023604)
224,CA,6075,San Francisco,San Francisco,805235,121.4,46.873000000000005,479.19,185.016,600.59,231.889,37.727239000000004,-123.032229,True,POINT (-123.032229 37.727239)
225,CA,6077,San Joaquin,Stockton,685306,3603.506,1391.3220000000001,91.109,35.177,3694.615,1426.499,37.935034,-121.27223700000002,True,POINT (-121.272237 37.935034)
226,CA,6079,San Luis Obispo,San Luis Obispo,269637,8543.248,3298.567,820.975,316.98,9364.223,3615.547,35.385227,-120.44753999999999,True,POINT (-120.44754 35.385227)
227,CA,6081,San Mateo,Redwood City,718451,1161.372,448.408,757.704,292.551,1919.076,740.959,37.414664,-122.37154199999999,True,POINT (-122.371542 37.414664)
228,CA,6083,Santa Barbara,Santa Barbara,423895,7083.838000000001,2735.085,2729.829,1053.993,9813.667,3789.078,34.537378000000004,-120.03848500000001,True,POINT (-120.038485 34.537378)
229,CA,6085,Santa Clara,San Jose,1781642,3341.343,1290.1,36.175,13.967,3377.518,1304.067,37.220777000000005,-121.69062199999999,True,POINT (-121.690622 37.22077700000001)
230,CA,6087,Santa Cruz,Santa Cruz,262382,1152.986,445.17,419.569,161.996,1572.555,607.1659999999999,37.012488,-122.007205,True,POINT (-122.007205 37.012488)
231,CA,6089,Shasta,Redding,177223,9778.247,3775.402,186.53099999999998,72.02,9964.778,3847.422,40.760521999999995,-122.04355,True,POINT (-122.04355 40.76052199999999)
232,CA,6091,Sierra,Downieville,3240,2468.814,953.2139999999999,23.299,8.996,2492.113,962.21,39.576925,-120.521993,True,POINT (-120.521993 39.576925)
233,CA,6093,Siskiyou,Yreka,44900,16259.652,6277.887,179.889,69.456,16439.542,6347.343000000001,41.587986,-122.53328700000002,True,POINT (-122.533287 41.587986)
234,CA,6095,Solano,Fairfield,413344,2128.361,821.765,218.666,84.427,2347.027,906.192,38.267226,-121.939594,True,POINT (-121.939594 38.267226)
235,CA,6097,Sonoma,Santa Rosa,483878,4081.43,1575.849,497.53,192.09799999999998,4578.96,1767.9470000000001,38.532574,-122.945194,True,POINT (-122.945194 38.532574)
236,CA,6099,Stanislaus,Modesto,514453,3871.583,1494.8270000000002,51.437,19.86,3923.02,1514.6870000000001,37.562384,-121.002656,True,POINT (-121.002656 37.562384)
237,CA,6101,Sutter,Yuba City,94737,1560.236,602.41,15.747,6.08,1575.983,608.49,39.035257,-121.702758,True,POINT (-121.702758 39.035257)
238,CA,6103,Tehama,Red Bluff,63463,7639.71,2949.7090000000003,32.275999999999996,12.462,7671.986,2962.171,40.126156,-122.232276,True,POINT (-122.232276 40.126156)
239,CA,6105,Trinity,Weaverville,13786,8234.23,3179.2540000000004,73.408,28.343000000000004,8307.638,3207.597,40.647724,-123.11440400000001,True,POINT (-123.114404 40.647724)
240,CA,6107,Tulare,Visalia,442179,12494.658000000001,4824.215,37.391999999999996,14.437000000000001,12532.05,4838.652,36.230453000000004,-118.780542,True,POINT (-118.780542 36.230453)
241,CA,6109,Tuolumne,Sonora,55365,5752.063,2220.884,138.684,53.54600000000001,5890.746,2274.43,38.021451,-119.964708,True,POINT (-119.964708 38.021451)
242,CA,6111,Ventura,Ventura,823318,4773.692,1843.1329999999998,945.992,365.249,5719.684,2208.382,34.358742,-119.13314299999999,True,POINT (-119.133143 34.358742)
243,CA,6113,Yolo,Woodland,200849,2628.032,1014.689,22.969,8.868,2651.002,1023.557,38.679268,-121.903178,True,POINT (-121.903178 38.679268)
